name,aliases,kcal,protein,fat,carbs,weight_g,emoji,advice,source,confidence,trust_score
ростикс сандерс бургер,сандерс бургер ростикс|kfc sanders burger,430,22,21,38,190,🍔,Соус и панировка повышают калории.,seed,0.74,0.78
ростикс чизбургер,чизбургер ростикс|kfc cheeseburger,320,16,15,31,140,🍔,Ориентир на один бургер.,seed,0.74,0.78
ростикс баскет дуэт,баскет дуэт ростикс|kfc basket duet,1180,62,72,70,480,🍗,Большой набор лучше делить по фактической доле.,seed,0.7,0.74
ростикс баскет крыльев,баскет крылья ростикс|kfc wings basket,930,55,66,28,350,🍗,Острые крылья очень калорийны из-за кожи и панировки.,seed,0.7,0.74
ростикс пати баскет,пати баскет ростикс|kfc party basket,1650,85,98,105,650,🍗,Общий набор лучше считать по весу съеденной части.,seed,0.68,0.72
ростикс кукуруза,кукуруза ростикс|kfc corn,110,3,2,20,100,🌽,Легкий гарнир без масла.,seed,0.74,0.78
ростикс картофельное пюре,пюре ростикс|kfc пюре,120,3,4,18,140,🥔,Соус или подливу учитывай отдельно.,seed,0.74,0.78
ростикс молочный коктейль,коктейль ростикс|kfc milkshake,300,7,8,50,300,🥤,Сладкий напиток с высокой долей сахара.,seed,0.74,0.78
ростикс пепси,пепси ростикс|напиток ростикс,210,0,0,53,500,🥤,Размер стакана уточняй по заказу.,seed,0.74,0.78
бургер кинг барбекю биф ролл,барбекю биф ролл bk|bbq beef roll burger king,509,22,25,28,220,🌯,Ориентир на одну порцию.,seed,0.74,0.78
бургер кинг барбекю чикен рэп,барбекю чикен рэп bk|bbq chicken wrap burger king,327,24.8,7.9,20.5,180,🌯,Ориентир на один рэп.,seed,0.74,0.78
бургер кинг цезарь ролл,цезарь ролл бургер кинг|bk caesar roll,480,23,24,42,220,🌯,Соус дает значимую часть калорий.,seed,0.74,0.78
бургер кинг двойной воппер,двойной воппер|double whopper,900,50,57,51,360,🍔,Очень большая порция без гарнира.,seed,0.72,0.76
бургер кинг трипл воппер,трипл воппер|triple whopper,1120,70,72,53,430,🍔,Большой бургер часто закрывает половину дневной нормы.,seed,0.7,0.74
бургер кинг ангус,ангус бургер кинг|angus burger king,760,39,45,50,310,🍔,Ориентир на одну порцию.,seed,0.72,0.76
бургер кинг картофель по деревенски,деревенский картофель bk|bk wedges,360,4,17,46,150,🍟,Соусы учитывай отдельно.,seed,0.76,0.8
бургер кинг картофель фри малый,малый фри бургер кинг,240,3,12,31,80,🍟,Ориентир на малую порцию.,seed,0.76,0.8
бургер кинг картофель фри большой,большой фри бургер кинг,430,5,21,55,150,🍟,Соусы учитывай отдельно.,seed,0.76,0.8
бургер кинг пирожок вишневый,вишневый пирожок бургер кинг,250,3,12,32,80,🥧,Горячий десерт с сахарной начинкой.,seed,0.74,0.78
бургер кинг айс твист клубника,айс твист клубника bk,237,5.4,5.8,41.9,170,🍦,Десерт с печеньем и сахаром.,seed,0.72,0.76
бургер кинг айс твист шоколад,айс твист шоколад bk,200,5.3,5.9,31.4,160,🍦,Ориентир на одну порцию.,seed,0.72,0.76
бургер кинг соус сырный,сырный соус бургер кинг,80,1,7,3,25,🥫,Порционный соус считай отдельно.,seed,0.76,0.8
бургер кинг соус барбекю,барбекю соус бургер кинг,45,0,0,10,25,🥫,Сладкий соус добавляет углеводы.,seed,0.76,0.8
додо пицца двойная пепперони,двойная пепперони додо|dodo double pepperoni,295,12.6,15.4,24.2,100,🍕,Ориентир на 100 г пиццы.,seed,0.76,0.8
додо пицца двойной цыпленок,двойной цыпленок додо,264,11.5,8.7,33.1,100,🍕,Ориентир на 100 г.,seed,0.76,0.8
додо пицца додо,пицца додо фирменная|dodo pizza,248,8.8,11.8,25.1,100,🍕,Фирменная пицца зависит от теста и размера.,seed,0.76,0.8
додо пицца додо микс,додо микс|dodo mix pizza,270,10.3,12.5,27.3,100,🍕,Ориентир на 100 г.,seed,0.76,0.8
додо пицца мясной микс,мясной микс додо,292,13,14,29,100,🍕,Мясные начинки повышают жиры.,seed,0.74,0.78
додо пицца чикен ранч,чикен ранч додо|chicken ranch dodo,275,12,12,31,100,🍕,Соус ранч калорийный.,seed,0.74,0.78
додо пицца ветчина и грибы,ветчина грибы додо,240,11,9,29,100,🍕,Ориентир на 100 г.,seed,0.74,0.78
додо пицца колбаски барбекю,колбаски барбекю додо,285,12,14,30,100,🍕,Сладкий соус добавляет углеводы.,seed,0.74,0.78
додо пицца морская,морская додо|пицца с морепродуктами додо,230,11,8,28,100,🍕,Ориентир на 100 г.,seed,0.72,0.76
додо рулетики с сыром,сырные рулетики додо,320,12,16,34,100,🧀,Соус учитывай отдельно.,seed,0.74,0.78
додо рулетики с пепперони,рулетики пепперони додо,350,13,19,34,100,🍕,Ориентир на 100 г.,seed,0.74,0.78
додо цыпленок ранч стартер,стартер цыпленок ранч додо,470,19,24,45,170,🍗,Сытная закуска со сливочным соусом.,seed,0.72,0.76
додо чизкейк нью йорк,чизкейк додо|dodo cheesecake,340,6,22,32,100,🍰,Ориентир на кусок десерта.,seed,0.74,0.78
додо фондан,шоколадный фондан додо,420,6,24,46,100,🍫,Теплый шоколадный десерт очень калорийный.,seed,0.72,0.76
додо морс клюквенный,морс додо,120,0,0,30,300,🧃,Сахар зависит от рецепта.,seed,0.72,0.76
пятерочка красная цена молоко 2.5%,красная цена молоко|молоко пятерочка,53,3,2.5,4.7,100,🥛,Для точности смотри этикетку конкретной упаковки.,seed,0.72,0.76
пятерочка красная цена творог 5%,красная цена творог|творог пятерочка 5,121,17,5,3,100,🥛,Брендовые продукты лучше сверять по этикетке.,seed,0.72,0.76
пятерочка красная цена сметана 15%,красная цена сметана|сметана пятерочка,158,2.6,15,3,100,🥛,Ложка сметаны около 20 г.,seed,0.72,0.76
пятерочка красная цена кефир 2.5%,красная цена кефир|кефир пятерочка,53,3,2.5,4,100,🥛,Стакан обычно 200-250 г.,seed,0.72,0.76
пятерочка красная цена йогурт питьевой,красная цена йогурт|йогурт пятерочка,90,3,2.5,14,100,🥛,Сахар зависит от вкуса.,seed,0.7,0.74
пятерочка красная цена сырок глазированный,красная цена сырок|сырок пятерочка,195,7,11,19,45,🍫,Один сырок обычно 40-50 г.,seed,0.72,0.76
пятерочка красная цена сыр российский,красная цена сыр|сыр пятерочка,350,24,27,2,100,🧀,Жирность может отличаться по партии.,seed,0.7,0.74
пятерочка красная цена колбаса докторская,красная цена докторская|колбаса пятерочка,250,12,22,2,100,🥓,Проверь этикетку по бренду.,seed,0.7,0.74
пятерочка красная цена сосиски,красная цена сосиски|сосиски пятерочка,280,11,24,3,100,🌭,Жирность отличается по линейке.,seed,0.7,0.74
пятерочка красная цена пельмени,красная цена пельмени|пельмени пятерочка,260,10,13,27,100,🥟,Указано для продукта после варки ориентировочно.,seed,0.7,0.74
пятерочка красная цена блины с мясом,красная цена блины мясо|блины пятерочка мясо,220,9,11,23,100,🥞,Сметану и масло учитывай отдельно.,seed,0.7,0.74
пятерочка красная цена вареники с картофелем,красная цена вареники|вареники пятерочка,170,5,3,32,100,🥟,Сметану или масло считай отдельно.,seed,0.7,0.74
пятерочка красная цена майонез,красная цена майонез|майонез пятерочка,620,1,67,3,100,🥫,Одна столовая ложка около 20-25 г.,seed,0.72,0.76
пятерочка красная цена кетчуп,красная цена кетчуп|кетчуп пятерочка,110,1,0,25,100,🥫,Порция соуса обычно 20-30 г.,seed,0.72,0.76
пятерочка шарлиз вафли,шарлиз вафли|вафли пятерочка,520,6,28,62,100,🧇,Сладости лучше считать по весу упаковки.,seed,0.7,0.74
пятерочка шарлиз печенье,шарлиз печенье|печенье пятерочка,430,7,14,70,100,🍪,Порция быстро набирается незаметно.,seed,0.7,0.74
пятерочка шарлиз шоколад молочный,шарлиз шоколад|шоколад пятерочка,535,7,30,58,100,🍫,Ориентир на 100 г плитки.,seed,0.7,0.74
пятерочка селяночка молоко 3.2%,селяночка молоко|молоко селяночка,60,3,3.2,4.7,100,🥛,Проверь жирность на упаковке.,seed,0.72,0.76
пятерочка селяночка творог 9%,селяночка творог|творог селяночка,159,16.7,9,2,100,🥛,Жирность сильно влияет на калории.,seed,0.72,0.76
пятерочка fish house крабовые палочки,fish house крабовые палочки|крабовые палочки пятерочка,95,6,1,15,100,🦀,Удобно считать по весу пачки.,seed,0.7,0.74
пятерочка рестория пицца замороженная,рестория пицца|пицца пятерочка,260,10,10,32,100,🍕,Смотри этикетку конкретного вкуса.,seed,0.7,0.74
пятерочка рестория наггетсы,рестория наггетсы|наггетсы пятерочка,250,14,13,19,100,🍗,Способ приготовления меняет калорийность.,seed,0.7,0.74
пятерочка рестория картофель фри,рестория фри|картошка фри пятерочка,170,3,5,28,100,🍟,В духовке легче чем во фритюре.,seed,0.7,0.74
пятерочка готовый салат оливье,оливье пятерочка|салат пятерочка оливье,190,6,14,10,100,🥗,Майонезный салат лучше считать по весу.,seed,0.7,0.74
пятерочка готовый салат цезарь,цезарь пятерочка|готовая еда пятерочка цезарь,180,10,12,8,100,🥗,Соус может лежать отдельно.,seed,0.7,0.74
пятерочка готовая курица гриль,курица гриль пятерочка,220,25,13,0,100,🍗,Кожа заметно повышает жиры.,seed,0.7,0.74
магнит моя цена молоко 2.5%,моя цена молоко|молоко магнит,53,3,2.5,4.7,100,🥛,Для точности смотри этикетку упаковки.,seed,0.72,0.76
магнит моя цена творог 5%,моя цена творог|творог магнит,121,17,5,3,100,🥛,Ориентир для творога 5%.,seed,0.72,0.76
магнит моя цена кефир,моя цена кефир|кефир магнит,53,3,2.5,4,100,🥛,Стакан обычно 200-250 г.,seed,0.72,0.76
магнит моя цена сметана 20%,моя цена сметана|сметана магнит,206,2.5,20,3.4,100,🥛,Ложка сметаны около 20 г.,seed,0.72,0.76
магнит моя цена сырок глазированный,моя цена сырок|сырок магнит,200,7,12,18,45,🍫,Один сырок около 45 г.,seed,0.7,0.74
магнит моя цена сосиски,моя цена сосиски|сосиски магнит,280,11,24,3,100,🌭,Проверь жирность на этикетке.,seed,0.7,0.74
магнит моя цена пельмени,моя цена пельмени|пельмени магнит,260,10,13,27,100,🥟,Сметану и масло учитывай отдельно.,seed,0.7,0.74
магнит моя цена майонез,моя цена майонез|майонез магнит,620,1,67,3,100,🥫,Порция обычно 20-25 г.,seed,0.72,0.76
магнит моя цена кетчуп,моя цена кетчуп|кетчуп магнит,110,1,0,25,100,🥫,Соус считай отдельно.,seed,0.72,0.76
магнит fresh салат оливье,магнит салат оливье|оливье магнит,190,6,14,10,100,🥗,Готовая кулинария отличается по магазину.,seed,0.68,0.72
магнит fresh салат крабовый,магнит салат крабовый|крабовый магнит,180,6,12,13,100,🥗,Майонез повышает калории.,seed,0.68,0.72
магнит fresh салат мимоза,магнит салат мимоза|мимоза магнит,210,9,17,8,100,🥗,Ориентир для готового салата.,seed,0.68,0.72
магнит fresh котлета куриная,магнит котлета куриная|готовая котлета магнит,220,15,14,10,100,🍗,Панировка и масло меняют итог.,seed,0.68,0.72
магнит fresh гречка с курицей,магнит гречка курица|готовая еда магнит,145,13,4,14,100,🍛,Ориентир на 100 г готового блюда.,seed,0.68,0.72
магнит fresh паста карбонара,магнит паста карбонара,230,10,13,20,100,🍝,Сливочный соус повышает калории.,seed,0.68,0.72
магнит замороженная пицца,пицца магнит замороженная,260,10,10,32,100,🍕,Смотри этикетку конкретного вкуса.,seed,0.68,0.72
магнит наггетсы замороженные,наггетсы магнит,250,14,13,19,100,🍗,Способ приготовления меняет итог.,seed,0.68,0.72
магнит блины с творогом,блины магнит творог,210,10,8,25,100,🥞,Сметану и сахар учитывай отдельно.,seed,0.68,0.72
вкусвилл творог 5%,творог вкусвилл,121,17,5,3,100,🥛,По этикетке конкретной упаковки точнее.,seed,0.72,0.76
вкусвилл йогурт греческий,греческий йогурт вкусвилл,97,9,5,4,100,🥛,Проверь жирность и сахар.,seed,0.72,0.76
вкусвилл сырники,сырники вкусвилл,230,13,10,22,100,🥞,Соус и сметану считай отдельно.,seed,0.72,0.76
вкусвилл хумус,хумус вкусвилл,240,8,16,18,100,🧆,Масло и тахини дают жиры.,seed,0.72,0.76
вкусвилл котлеты куриные,котлеты вкусвилл куриные,190,18,10,7,100,🍗,Жарка может добавить масло.,seed,0.7,0.74
вкусвилл пельмени домашние,пельмени вкусвилл,260,11,13,25,100,🥟,Сметану и масло учитывай отдельно.,seed,0.7,0.74
вкусвилл блины с мясом,блины вкусвилл мясо,230,10,12,22,100,🥞,Ориентир на 100 г.,seed,0.7,0.74
вкусвилл гранола,гранола вкусвилл,450,10,15,65,100,🥣,Порция обычно 30-50 г.,seed,0.7,0.74
вкусвилл батончик ореховый,батончик вкусвилл|ореховый батончик,420,10,22,45,100,🍫,Сладкие батончики лучше считать по весу.,seed,0.68,0.72
вкусвилл салат цезарь,цезарь вкусвилл,180,10,12,8,100,🥗,Соус может лежать отдельно.,seed,0.68,0.72
самокат молоко 2.5%,молоко самокат,53,3,2.5,4.7,100,🥛,Собственная марка может отличаться по этикетке.,seed,0.68,0.72
самокат творог 5%,творог самокат,121,17,5,3,100,🥛,Ориентир для творога 5%.,seed,0.68,0.72
самокат готовый боул с курицей,боул самокат курица,155,10,6,15,100,🍱,Соус лучше учитывать отдельно если он в пакете.,seed,0.66,0.7
самокат сэндвич с курицей,сэндвич самокат курица,240,13,9,27,100,🥪,Ориентир на 100 г.,seed,0.66,0.7
яндекс лавка сырники,сырники лавка|сырники яндекс лавка,230,13,10,22,100,🥞,Соусы учитывай отдельно.,seed,0.68,0.72
яндекс лавка салат цезарь,цезарь лавка|салат яндекс лавка,180,10,12,8,100,🥗,Калорийность зависит от соуса.,seed,0.66,0.7
яндекс лавка паста с курицей,паста лавка курица,180,11,8,17,100,🍝,Ориентир на 100 г готового блюда.,seed,0.66,0.7
простоквашино молоко 2.5%,молоко простоквашино,53,3,2.5,4.7,100,🥛,Стакан около 250 мл.,seed,0.78,0.82
простоквашино творог 5%,творог простоквашино 5,121,17,5,3,100,🥛,Проверь жирность на упаковке.,seed,0.78,0.82
простоквашино кефир 2.5%,кефир простоквашино,53,3,2.5,4,100,🥛,Стакан обычно 200-250 г.,seed,0.78,0.82
простоквашино сметана 15%,сметана простоквашино,158,2.6,15,3,100,🥛,Одна ложка около 20 г.,seed,0.78,0.82
домик в деревне молоко 3.2%,молоко домик в деревне,60,3,3.2,4.7,100,🥛,Стакан около 250 мл.,seed,0.78,0.82
домик в деревне сливки 10%,сливки домик в деревне,118,3,10,4,100,🥛,Для кофе считай по фактическому объему.,seed,0.76,0.8
активиа йогурт питьевой,йогурт активиа питьевой,75,2.8,2.2,11,100,🥛,Сахар зависит от вкуса.,seed,0.76,0.8
активиа творожная,творожок активиа,105,5,4,14,100,🥛,Вкус и сахар меняют калории.,seed,0.74,0.78
чудо молочный коктейль,коктейль чудо|чудо молоко,86,3,2.5,13,100,🥤,Сладкий молочный напиток.,seed,0.76,0.8
чудо творожок,творожок чудо,130,6,4,18,100,🥛,Сладкий десертный творожок.,seed,0.76,0.8
даниссимо творожок,творожок даниссимо|danissimo,140,5,5,18,100,🥛,Сахар и наполнитель влияют на итог.,seed,0.74,0.78
растишка творожок,творожок растишка|йогурт растишка,110,6,3,15,100,🥛,Детский сладкий продукт с сахаром.,seed,0.74,0.78
агуша творожок,творожок агуша,100,8,4,8,100,🥛,Проверь вкус и жирность на упаковке.,seed,0.74,0.78
мираторг котлета для бургера,котлета бургер мираторг,260,16,20,2,100,🍔,Жарка может добавить масло.,seed,0.72,0.76
мираторг бифштекс,бифштекс мираторг,240,17,18,3,100,🥩,Жирность зависит от линейки.,seed,0.72,0.76
мираторг куриные крылья,крылья мираторг,210,18,14,3,100,🍗,Соус и кожа повышают калории.,seed,0.72,0.76
мираторг стейк говяжий,стейк мираторг,220,20,15,0,100,🥩,Калорийность зависит от отруба.,seed,0.72,0.76
мираторг пельмени,пельмени мираторг,260,11,13,25,100,🥟,Сметану и масло учитывай отдельно.,seed,0.72,0.76
мираторг чебупели,чебупели мираторг,310,10,18,28,100,🥟,Жарка делает продукт плотным по калориям.,seed,0.7,0.74
горячая штучка чебупели,чебупели горячая штучка,310,10,18,28,100,🥟,Соус учитывай отдельно.,seed,0.7,0.74
горячая штучка чебуреки,чебуреки горячая штучка,330,11,19,29,100,🥟,Жареное тесто очень калорийно.,seed,0.7,0.74
сибирская коллекция пельмени,пельмени сибирская коллекция,260,11,13,25,100,🥟,Ориентир на готовые пельмени.,seed,0.72,0.76
цезарь пицца замороженная,пицца цезарь замороженная,260,10,10,32,100,🍕,Смотри этикетку конкретного вкуса.,seed,0.7,0.74
цезарь лазанья,лазанья цезарь замороженная,170,8,8,17,100,🍝,Ориентир на 100 г готового блюда.,seed,0.7,0.74
